eta,f,g,h
0.0,0.0,0.0,0.09964
0.5,0.01413,0.0598,0.13949
1.0,0.0631,0.13925,0.17783
1.5,0.15644,0.2369,0.21171
2.0,0.30252,0.34949,0.2367
2.5,0.50748,0.47128,0.24766
3.0,0.77399,0.59416,0.24056
3.5,1.10024,0.70872,0.21472
4.0,1.47987,0.80644,0.17429
4.5,1.90294,0.88196,0.12751
5.0,2.35794,0.93442,0.08349
5.5,2.83402,0.967,0.04871
6.0,3.32251,0.98502,0.02525
6.5,3.81751,0.99388,0.01162
7.0,4.31557,0.99776,0.00475
7.5,4.81488,0.99926,0.00172
8.0,5.31467,0.99978,0.00056
8.5,5.81461,0.99994,0.00016
9.0,6.31459,0.99999,4e-05
9.5,6.81459,1.0,1e-05
10.0,7.31459,1.0,0.0
